ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
DivSlit	2/3 deg.
DivH.L.Slit	10mm
SctSlit	2/3 deg.
RecSlit	0.3mm
Start	10
Stop	90
Step	0.02
Speed	2
Offset	0
17.72	8.33333
17.74	13.3333
17.76	5
17.78	15
17.8	5
17.82	15
17.84	5
17.86	8.33333
17.88	8.33333
17.9	3.33333
17.92	8.33333
17.94	5
17.96	8.33333
17.98	11.6667
18	8.33333
18.02	6.66667
18.04	11.6667
18.06	5
18.08	6.66667
18.1	13.3333
18.12	6.66667
18.14	6.66667
18.16	6.66667
18.18	8.33333
18.2	8.33333
18.22	8.33333
18.24	3.33333
18.26	10
18.28	8.33333
18.3	1.66667
18.32	11.6667
18.34	8.33333
18.36	16.6667
18.38	10
18.4	5
18.42	15
18.44	8.33333
18.46	3.33333
18.48	11.6667
18.5	8.33333
18.52	6.66667
18.54	10
18.56	15
18.58	10
18.6	1.66667
18.62	8.33333
18.64	6.66667
18.66	5
18.68	8.33333
18.7	11.6667
18.72	15
18.74	8.33333
18.76	10
18.78	6.66667
18.8	10
18.82	13.3333
18.84	13.3333
18.86	11.6667
18.88	3.33333
18.9	3.33333
18.92	10
18.94	5
18.96	8.33333
18.98	5
19	1.66667
19.02	11.6667
19.04	11.6667
19.06	8.33333
19.08	15
19.1	8.33333
19.12	10
19.14	8.33333
19.16	6.66667
19.18	6.66667
19.2	8.33333
19.22	10
19.24	11.6667
19.26	10
19.28	13.3333
19.3	11.6667
19.32	20
19.34	10
19.36	13.3333
19.38	6.66667
19.4	5
19.42	3.33333
19.44	6.66667
19.46	6.66667
19.48	6.66667
19.5	11.6667
19.52	13.3333
19.54	8.33333
19.56	10
19.58	10
19.6	6.66667
19.62	10
19.64	6.66667
19.66	8.33333
19.68	6.66667
19.7	10
19.72	11.6667
19.74	5
19.76	10
19.78	6.66667
19.8	15
19.82	6.66667
19.84	10
19.86	5
19.88	11.6667
19.9	8.33333
19.92	8.33333
19.94	6.66667
19.96	11.6667
19.98	6.66667
20	5
20.02	6.66667
20.04	6.66667
20.06	5
20.08	5
20.1	6.66667
20.12	11.6667
20.14	3.33333
20.16	6.66667
20.18	6.66667
20.2	13.3333
20.22	5
20.24	15
20.26	18.3333
20.28	13.3333
20.3	23.3333
20.32	13.3333
20.34	6.66667
20.36	11.6667
20.38	10
20.4	5
20.42	10
20.44	8.33333
20.46	11.6667
20.48	11.6667
20.5	13.3333
20.52	11.6667
20.54	6.66667
20.56	13.3333
20.58	20
20.6	10
20.62	8.33333
20.64	8.33333
20.66	10
20.68	11.6667
20.7	5
20.72	11.6667
20.74	1.66667
20.76	6.66667
20.78	8.33333
20.8	8.33333
20.82	8.33333
20.84	13.3333
20.86	3.33333
20.88	10
20.9	6.66667
20.92	10
20.94	6.66667
20.96	18.3333
20.98	8.33333
21	13.3333
21.02	10
21.04	11.6667
21.06	11.6667
21.08	11.6667
21.1	8.33333
21.12	16.6667
21.14	6.66667
21.16	11.6667
21.18	10
21.2	8.33333
21.22	11.6667
21.24	5
21.26	13.3333
21.28	10
21.3	6.66667
21.32	10
21.34	15
21.36	10
21.38	5
21.4	13.3333
